MEGS AND SAM CONSUMER GOODS TRADING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,,,,Total Number of Invested on Products,,,,," ₱123,187.50 ",
Address,,,,Total Number of Sales,,,,,0,
"City, State, ZIP",,,,Total Number of Sold Products,,,,,0,
Phone,,,,Total Estimated of Stocks (Unsold),,,,, ₱-   ,"3,423.00"
,,,,Total Estimated Value,,,,, ₱-   ,"₱262,365.00"
,,Purchase Information,,,,,,,,
Location,Description,Date,Capital Price, Price per. Product ,Number of Sales, Total  ,Stocks,Sold,Total number  of Unsold Products,Total Estimated Value
,Eco Planet Tissue 480 g,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Bella Miss Baby Tissue,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Belt (Baga),,, ₱60.00 ,, ₱-   ,1,,1,₱60.00
,Belt (Nipis),,, ₱60.00 ,, ₱-   ,2,,2,₱120.00
,Big Pearl Pin (black),,, ₱25.00 ,, ₱-   ,4,,4,₱100.00
,Big Pearl Pin (COLORED),,, ₱25.00 ,, ₱-   ,17,,17,₱425.00
,Bigen Powder Dye,,, ₱30.00 ,, ₱-   ,4,,4,₱120.00
,Binder Clip,,, ₱1.50 ,, ₱-   ,0,,0,₱0.00
,Biodata ,,, ₱2.00 ,, ₱-   ,0,,0,₱0.00
,Birken SANDAL,,, ₱210.00 ,, ₱-   ,0,,0,₱0.00
,Birken For Men,,, ₱220.00 ,, ₱-   ,0,,0,₱0.00
,Birkens women,,, ₱180.00 ,, ₱-   ,0,,0,₱0.00
,Birkens women ,,, ₱199.00 ,, ₱-   ,0,,0,₱0.00
,Birthday Candle ,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Black Slipper Rubber channel,,, ₱225.00 ,, ₱-   ,5,,5,"₱1,125.00"
,Black Suade ROLL ON,,, ₱169.00 ,, ₱-   ,2,,2,₱338.00
,Blackwater Deo/Spray,,, ₱220.00 ,, ₱-   ,2,,2,₱440.00
,Blocks,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Blooming Skin Renew Set,,, ₱285.00 ,, ₱-   ,2,,2,₱570.00
,Blow Lash Ex36,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,BMRS Niacinamide Glutathione,,, ₱50.00 ,, ₱-   ,10,,10,₱500.00
,Body Scrub,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Bomd Gel Polish Remover,,,,, ₱-   ,4,,4,₱0.00
,Bonita Himalayan Pink Salt 100mL,,, ₱180.00 ,, ₱-   ,1,,1,₱180.00
,Bonita Himalayan Pink Salt soap 80g,,, ₱170.00 ,, ₱-   ,6,,6,"₱1,020.00"
,Bonita Sunflower 100mL,,, ₱180.00 ,, ₱-   ,0,,0,₱0.00
,Bremod 10 n 1 mL Hair SERUM,,, ₱150.00 ,, ₱-   ,5,,5,₱750.00
,Bremod Collagen Hydrox 12% 1000ml OXI,,, ₱145.00 ,, ₱-   ,0,,0,₱0.00
,Bremod Collagen Hydrox 6% 1000ml OXI,,, ₱145.00 ,, ₱-   ,0,,0,₱0.00
,Bremod Collagen Hydrox 9% 1000ml OXI,,, ₱145.00 ,, ₱-   ,0,,0,₱0.00
,Bremod Hair Blower,,," ₱1,180.00 ",, ₱-   ,0,,0,₱0.00
,Bremod Hair Brightener 500g,,, ₱245.00 ,, ₱-   ,2,,2,₱490.00
,Bremod Hair Brightener series 500g,,, ₱330.00 ,, ₱-   ,1,,1,₱330.00
,Bremod Hair strong care hair mask 20ml,,₱15.00, ₱30.00 ,, ₱-   ,3,,3,₱90.00
,Bremod Hair Scissors,,, ₱250.00 ,, ₱-   ,0,,0,₱0.00
,Bremod Hair Straightener Iron,,," ₱1,300.00 ",, ₱-   ,0,,0,₱0.00
,Bremod hair protecting serum,,, ₱100.00 ,, ₱-   ,2,,2,₱200.00
,Bremod Performance Cocoa Butter Hair Mask,,, ₱30.00 ,, ₱-   ,2,,2,₱60.00
,Bremod Performance Hair Straightening,,, ₱350.00 ,, ₱-   ,0,,0,₱0.00
,Bremod Premium Series Oxidant Cream 12%,,, ₱145.00 ,, ₱-   ,0,,0,₱0.00
,Bremod Premium Series Oxidant Cream 6%,,, ₱145.00 ,, ₱-   ,0,,0,₱0.00
,Bremod Premium Series Oxidant Cream 9%,,, ₱145.00 ,, ₱-   ,0,,0,₱0.00
,Bremod Super Fading Bleaching Powder,,, ₱30.00 ,, ₱-   ,0,,0,₱0.00
,Bremod Top Smooth 50mL,,, ₱40.00 ,, ₱-   ,3,,3,₱120.00
,Bremod Yellow Keratin Silky Straight,,, ₱380.00 ,, ₱-   ,2,,2,₱760.00
,Bremod milk rebonding green ,,, ₱410.00 ,, ₱-   ,1,,1,₱410.00
,Bremond (Color) 0.00,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 0.19,,₱38.00, ₱45.00 ,, ₱-   ,6,,6,₱270.00
,Bremond (Color) 0.22,,₱38.00, ₱45.00 ,, ₱-   ,2,,2,₱90.00
,Bremond (Color) 0.33,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 0.45,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 0.88,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 10.0,,₱38.00, ₱45.00 ,, ₱-   ,2,,2,₱90.00
,Bremond (Color) 12.88,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 2.0,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 2.0,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 3.0,,₱38.00, ₱45.00 ,, ₱-   ,2,,2,₱90.00
,Bremond (Color) 4.5,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 44.77,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 5.0,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 5.17,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 5.4,,₱38.00, ₱45.00 ,, ₱-   ,2,,2,₱90.00
,Bremond (Color) 5.5,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 5.56,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 6.0,,₱38.00, ₱45.00 ,, ₱-   ,4,,4,₱180.00
,Bremond (Color) 6.1,,₱38.00, ₱45.00 ,, ₱-   ,4,,4,₱180.00
,Bremond (Color) 6.17,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 6.31,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 7.0,,₱38.00, ₱45.00 ,, ₱-   ,2,,2,₱90.00
,Bremond (Color) 7.1,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 7.17,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 7.3,,₱38.00, ₱45.00 ,, ₱-   ,2,,2,₱90.00
,Bremond (Color) 7.31,,₱38.00, ₱45.00 ,, ₱-   ,1,,1,₱45.00
,Bremond (Color) 7.37,,₱38.00, ₱45.00 ,, ₱-   ,6,,6,₱270.00
,Bremond (Color) 7.5,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 7.56,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 7.7,,₱38.00, ₱45.00 ,, ₱-   ,2,,2,₱90.00
,Bremond (Color) 8.0,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 8.1,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 8.10,,₱38.00, ₱45.00 ,, ₱-   ,1,,1,₱45.00
,Bremond (Color) 8.16,,₱38.00, ₱45.00 ,, ₱-   ,1,,1,₱45.00
,Bremond (Color) 8.17,,₱38.00, ₱45.00 ,, ₱-   ,1,,1,₱45.00
,Bremond (Color) 8.2,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 8.3,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 8.33,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 8.43,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 8.45,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 8.77,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Bremond (Color) 9.0,,₱38.00, ₱45.00 ,, ₱-   ,2,,2,₱90.00
,Bremond (Color) 9.01,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 9.3,,₱38.00, ₱45.00 ,, ₱-   ,3,,3,₱135.00
,Bremond (Color) 9.7,,₱38.00, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Brilliant  Toner 135mL,,, ₱220.00 ,, ₱-   ,4,,4,₱880.00
,Brilliant  Toner 60mL,,, ₱110.00 ,, ₱-   ,6,,6,₱660.00
,Brilliant Skin Kojic soap 70 g,,, ₱60.00 ,, ₱-   ,1,,1,₱60.00
,Brilliant Skin Kojic soap 135 g,,, ₱115.00 ,, ₱-   ,1,,1,₱115.00
,Brilliant Skin Rejuv set,,, ₱310.00 ,, ₱-   ,3,,3,₱930.00
,Brilliant Skin Rejuv set micro expoliating,,, ₱310.00 ,, ₱-   ,3,,3,₱930.00
,Brilliant Skin Tinted Sunscreen 20g  ,,, ₱200.00 ,, ₱-   ,1,,1,₱200.00
,Brilliant Skin Whitening Set,,, ₱340.00 ,, ₱-   ,2,,2,₱680.00
,Brilliant Sunscreen Gel Cream 13g,,, ₱100.00 ,, ₱-   ,5,,5,₱500.00
,Brilliant Sunscreen Gel Cream 50g,,, ₱320.00 ,, ₱-   ,6,,6,"₱1,920.00"
,Brow EYELINER Brush (Long),,, ₱25.00 ,, ₱-   ,16,,16,₱400.00
,Brow EYELINER Brush (Short),,, ₱65.00 ,, ₱-   ,2,,2,₱130.00
,Brown Slipper,,, ₱100.00 ,, ₱-   ,0,,0,₱0.00
,BS Skin Essentials Rejuv Set,,, ₱220.00 ,, ₱-   ,4,,4,₱880.00
,Bugkot #001,,, ₱30.00 ,, ₱-   ,0,,0,₱0.00
,Bugkot @10p telecor,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Bugkot @15p,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Bugkot @20p,,, ₱20.00 ,, ₱-   ,22,,22,₱440.00
