MEGS AND SAM CONSUMER GOODS TRADING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,,,,Total Number of Invested on Products,,,,," ₱123,187.50 ",
Address,,,,Total Number of Sales,,,,,0,
"City, State, ZIP",,,,Total Number of Sold Products,,,,,0,
Phone,,,,Total Estimated of Stocks (Unsold),,,,, ₱-   ,"3,423.00"
,,,,Total Estimated Value,,,,, ₱-   ,"₱262,365.00"
,,Purchase Information,,,,,,,,
Location,Description,Date,Capital Price, Price per. Product ,Number of Sales, Total  ,Stocks,Sold,Total number  of Unsold Products,Total Estimated Value
,Merry Xmas Paper Wrapper,,, ₱30.00 ,, ₱-   ,3,,3,₱90.00
,Merry Xmas Paper Wrapper,,, ₱10.00 ,, ₱-   ,8,,8,₱80.00
,Milky Gluta White Premium Soap ,,, ₱60.00 ,, ₱-   ,0,,0,₱0.00
,Mirror ,,, ₱60.00 ,, ₱-   ,6,,6,₱360.00
,Modelling Clay Bar,,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Modelling Clay Bar,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Mouse & Pest Traps,,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,MS Style Sandal (AssortedSize/Color),,, ₱235.00 ,, ₱-   ,0,,0,₱0.00
,Multi-purpose Glue Gel,,,,, ₱-   ,0,,0,₱0.00
,Multi-purpose Rope,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Nail Cutter (Big),,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,Nail Cutter (Small),,, ₱40.00 ,, ₱-   ,5,,5,₱200.00
,Nail File,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Nail File Big,,, ₱20.00 ,, ₱-   ,2,,2,₱40.00
,Nail File Big,,, ₱25.00 ,, ₱-   ,1,,1,₱25.00
,Nail Lamp (UV Light),,₱800.00," ₱1,050.00 ",, ₱-   ,0,,0,₱0.00
,Nail Martayolit 100mL (Small) ,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Nail Martayolit 500mL,,, ₱105.00 ,, ₱-   ,0,,0,₱0.00
,Nail Martayolit 60mL (Big) ,,, ₱35.00 ,, ₱-   ,5,,5,₱175.00
,Nail Martayolit 30mL (small) ,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Nail Polish  Remover,,, ₱20.00 ,, ₱-   ,2,,2,₱40.00
,Nail Polish Remover 60mL,,, ₱35.00 ,, ₱-   ,12,,12,₱420.00
,Nature Glow Gluta Collagen Dietary Supplement (EXPIRED),,, ₱199.00 ,, ₱-   ,0,,0,₱0.00
,New Skin Rejuv,,, ₱250.00 ,, ₱-   ,0,,0,₱0.00
,Niacinamide Tawas Soap ,,, ₱65.00 ,, ₱-   ,7,,7,₱455.00
,Nicely Sandal (AssortedSize/Color),,, ₱235.00 ,, ₱-   ,0,,0,₱0.00
,Nike Slipper women,,, ₱225.00 ,, ₱-   ,0,,0,₱0.00
,Nike Slipper men,,, ₱200.00 ,, ₱-   ,0,,0,₱0.00
,Nipper,,, ₱60.00 ,, ₱-   ,1,,1,₱60.00
,Nipper (Gold),,, ₱140.00 ,, ₱-   ,1,,1,₱140.00
,Nipple tape Silicone PAIR,,, ₱45.00 ,, ₱-   ,11,,11,₱495.00
,Notebook Big w/Yarn,,, ₱29.00 ,, ₱-   ,36,,36,"₱1,044.00"
,Notebook Neo Brand ,,, ₱19.00 ,, ₱-   ,28,,28,₱532.00
,Notebook w/Yarn,,, ₱19.00 ,, ₱-   ,0,,0,₱0.00
,NRB Cream,,, ₱180.00 ,, ₱-   ,0,,0,₱0.00
,Number Candle (Assorted Numbers),,, ₱15.00 ,, ₱-   ,14,,14,₱210.00
,Nylon Lunch Box,,, ₱75.00 ,, ₱-   ,0,,0,₱0.00
,Packing Tape clear,,, ₱45.00 ,, ₱-   ,6,,6,₱270.00
,Packing Tape brown,,, ₱35.00 ,, ₱-   ,3,,3,₱105.00
,Packing Tape brown,,, ₱65.00 ,, ₱-   ,0,,0,₱0.00
,Padlock Medium,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Padlock Small,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Padlock Small large,,, ₱55.00 ,, ₱-   ,0,,0,₱0.00
,Pagoda 120mL,,, ₱155.00 ,, ₱-   ,1,,1,₱155.00
,Pagoda 60mL,,, ₱110.00 ,, ₱-   ,1,,1,₱110.00
,Panda Ballpen RED,,, ₱10.00 ,, ₱-   ,25,,25,₱250.00
,Panty Stockings,,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,Paper Bag (Baga),,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Paper Bag (Big),,, ₱55.00 ,, ₱-   ,0,,0,₱0.00
,Paper Bag (Nipis),,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Paper Bag Card Large ,,, ₱55.00 ,, ₱-   ,0,,0,₱0.00
,Paper Bag Card Medium ,,, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Paper Bag Medium Flower Design,,, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Paper Bag Sea,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Paper Bag Small w/ Card,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Paper Fastener ,,, ₱2.00 ,, ₱-   ,0,,0,₱0.00
,Paper Plate (small),,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Paper Plate Holder,,, ₱150.00 ,, ₱-   ,0,,0,₱0.00
,Parafin Wax,,, ₱190.00 ,, ₱-   ,1,,1,₱190.00
,Party Hat ,,, ₱7.00 ,, ₱-   ,24,,24,₱168.00
,Party Popper ,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Party Sash ,,, ₱40.00 ,, ₱-   ,2,,2,₱80.00
,Payong (pink),,, ₱100.00 ,, ₱-   ,1,,1,₱100.00
,Payong (red),,, ₱180.00 ,, ₱-   ,0,,0,₱0.00
,PAYONG BIG HOLDER,,, ₱145.00 ,, ₱-   ,3,,3,₱435.00
,Payong Pambata,,, ₱90.00 ,, ₱-   ,0,,0,₱0.00
,Pearl Bracelet ,,, ₱90.00 ,, ₱-   ,8,,8,₱720.00
,Pearl Bracelet ,,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,Pearl Bugkot ,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Pearl Earrings,,, ₱15.00 ,, ₱-   ,12,,12,₱180.00
,Pearl Earrings @10p,,, ₱10.00 ,, ₱-   ,2,,2,₱20.00
,Pearl Set Jewelry,,, ₱100.00 ,, ₱-   ,0,,0,₱0.00
,SKIN CARE Peel & Renew REJUV,,, ₱230.00 ,, ₱-   ,2,,2,₱460.00
,Pencil Case,,, ₱50.00 ,, ₱-   ,3,,3,₱150.00
,Pencil Mongol 2,,, ₱10.00 ,, ₱-   ,24,,24,₱240.00
,Perfect Skin Extra Strenghtening Rejuv,,, ₱180.00 ,, ₱-   ,5,,5,₱900.00
,Perfect Skin Gluta Arbutin lotion,,, ₱280.00 ,, ₱-   ,2,,2,₱560.00
,Perfect Skin Hydrating Set,,₱150.00, ₱180.00 ,, ₱-   ,3,,3,₱540.00
,Perfect Skin Rejuv Set 2,,₱150.00, ₱180.00 ,, ₱-   ,3,,3,₱540.00
,Periodic Table,,, ₱18.00 ,, ₱-   ,0,,0,₱0.00
,Personal Collection sof fabcon,,, ₱285.00 ,, ₱-   ,1,,1,₱285.00
,Parag'N Bond paper long,,, ₱220.00 ,, ₱-   ,1,,1,₱220.00
,Parag'N Bond paper short QUEDA,,, ₱200.00 ,, ₱-   ,1,,1,₱200.00
,Paper copy Bond Paper Long,,, ₱220.00 ,, ₱-   ,0,,0,₱0.00
,PP Lite Bondpaper short,,, ₱190.00 ,, ₱-   ,1,,1,₱190.00
,Pimple Patch,,, ₱20.00 ,, ₱-   ,3,,3,₱60.00
,Pink Eyebrow,,, ₱25.00 ,, ₱-   ,2,,2,₱50.00
,Pink Glam Beauty Secrets Night Cream ,,, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Pinky Secret Fem Wash,,, ₱140.00 ,, ₱-   ,3,,3,₱420.00
,Plastic Cover Roll 10x5m,,, ₱35.00 ,, ₱-   ,3,,3,₱105.00
,Plastic Cover Roll 13x3m,,, ₱20.00 ,, ₱-   ,2,,2,₱40.00
,Plastic Envelope (Long),,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Plastic Envelope (Short),,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Plastic Envelope with Holder ,,, ₱55.00 ,, ₱-   ,4,,4,₱220.00
,Plastic Envelope with Holder (Zipperized),,, ₱25.00 ,, ₱-   ,3,,3,₱75.00
,Plastic Fork (25pcs),,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Play Money ,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Pocket Notebook,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Political Map,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Polyester Thread,,, ₱5.00 ,, ₱-   ,0,,0,₱0.00
,Popsicle Sticks plain,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Popsicle Sticks colored,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Poster Paints ,,, ₱80.00 ,, ₱-   ,0,,0,₱0.00
,Prestige International Rejuv Set BAKIMAX,,, ₱220.00 ,, ₱-   ,1,,1,₱220.00
,Prestige Niacinamide Whitening Soap ,,, ₱50.00 ,, ₱-   ,1,,1,₱50.00
,Pretty & Fresh Rejuv Set,,, ₱290.00 ,, ₱-   ,1,,1,₱290.00
,Pretty Peach FEMININE WASH 150mL,,, ₱140.00 ,, ₱-   ,3,,3,₱420.00
,Probak Shaver,,, ₱10.00 ,, ₱-   ,14,,14,₱140.00
,Protractor ,,, ₱20.00 ,, ₱-   ,12,,12,₱240.00
,Puller,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Puller (Floral),,, ₱20.00 ,, ₱-   ,3,,3,₱60.00
,Pure Eyes Pomegranate ,,, ₱25.00 ,, ₱-   ,3,,3,₱75.00
,Pusher ,,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Pusher w/cover,,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Rabbit Eraser,,, ₱5.00 ,, ₱-   ,0,,0,₱0.00
,Rainbow Unicorn Magic Lipstick,,, ₱55.00 ,, ₱-   ,0,,0,₱0.00
,Record Book Big (150 pages) ,,, ₱70.00 ,, ₱-   ,5,,5,₱350.00
,Record Book Big (300 pages) ,,, ₱80.00 ,, ₱-   ,0,,0,₱0.00
,Record Book Mini (200 pages),,, ₱75.00 ,, ₱-   ,0,,0,₱0.00
,Relaxer,,, ₱235.00 ,, ₱-   ,7,,7,"₱1,645.00"
,Ranked tub refill,,, ₱120.00 ,, ₱-   ,1,,1,₱120.00
,Rene Foot Soak,,₱220.00, ₱390.00 ,, ₱-   ,0,,0,₱0.00
,Revenge Rejuv Set,,, ₱190.00 ,, ₱-   ,0,,0,₱0.00
,Revenge soap,,, ₱175.00 ,, ₱-   ,3,,3,₱525.00
,Revenge Sunblock Gel Cream ,,, ₱185.00 ,, ₱-   ,3,,3,₱555.00
,Revita Glow Insta Botox,,, ₱150.00 ,, ₱-   ,1,,1,₱150.00
,Ribbon Clip,,, ₱35.00 ,, ₱-   ,6,,6,₱210.00
,Ring 24k,,, ₱50.00 ,, ₱-   ,6,,6,₱300.00
,Reading Glass,,, ₱100.00 ,, ₱-   ,2,,2,₱200.00
,Roller Brush ,,, ₱95.00 ,, ₱-   ,0,,0,₱0.00
,Rosmar Bleaching Soap,,, ₱250.00 ,, ₱-   ,1,,1,₱250.00
,ROSMAR KALAMANSI SOAP,,, ₱250.00 ,, ₱-   ,2,,2,₱500.00
,Rosmar Gluta Peeling Soap 10x,,, ₱100.00 ,, ₱-   ,7,,7,₱700.00
,Rosmar Kagayaku condensada soap,,, ₱50.00 ,, ₱-   ,2,,2,₱100.00
,Rosmar Tawas Calamansi Soap,,, ₱150.00 ,, ₱-   ,2,,2,₱300.00
,Rosmar Bleasing soap,,, ₱50.00 ,, ₱-   ,3,,3,₱150.00
,Rosmar niacinamide premium soap,,, ₱50.00 ,, ₱-   ,3,,3,₱150.00
,Rubber Hair Band San rio,,, ₱10.00 ,, ₱-   ,16,,16,₱160.00
,Ruler @18,,, ₱18.00 ,, ₱-   ,0,,0,₱0.00
,Ruler Green & Blue ,,, ₱18.00 ,, ₱-   ,6,,6,₱108.00
,Ruler Set,,, ₱25.00 ,, ₱-   ,3,,3,₱75.00
,S.F.R Color Matte Lip Ink,,, ₱60.00 ,, ₱-   ,2,,2,₱120.00
,SAN RIO TUBE,,, ₱40.00 ,, ₱-   ,12,,12,₱480.00
,Sanrio Pack,,, ₱25.00 ,, ₱-   ,5,,5,₱125.00
,SCD Peeling Set,,, ₱420.00 ,, ₱-   ,1,,1,₱420.00
,Scotch Tape Super Small,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Scotch Tape Super Small ZH-53,,, ₱10.00 ,, ₱-   ,7,,7,₱70.00
,Scotch Tape ,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Scotch Tape ,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Scotch Tape,,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Double sided 3/4,,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,DOUBLE SIDED JOY 1/2,,, ₱35.00 ,, ₱-   ,4,,4,₱140.00
,Double sided 3/4,,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Double sided Baga,,, ₱65.00 ,, ₱-   ,0,,0,₱0.00
,SD Skin Rejuv,,, ₱225.00 ,, ₱-   ,2,,2,₱450.00
,Set Necklace Pearl,,, ₱80.00 ,, ₱-   ,0,,0,₱0.00
,Seven Days Power Sun Protect Sunscreen,,, ₱180.00 ,, ₱-   ,3,,3,₱540.00
,Seven Days Rejuv Set,,, ₱290.00 ,, ₱-   ,0,,0,₱0.00
,South girls Skin Expert Rejuv,,, ₱210.00 ,, ₱-   ,1,,1,₱210.00
,Shampoo  1.75L Apple,,, ₱195.00 ,, ₱-   ,0,,0,₱0.00
,Sharpener ?,,, ₱25.00 ,, ₱-   ,21,,21,₱525.00
,Shawill Lotion 500mL,,₱150.00, ₱199.00 ,, ₱-   ,2,,2,₱398.00
,Sheppu Appu Dietary Supplement,,₱300.00, ₱399.00 ,, ₱-   ,7,,7,"₱2,793.00"
,Sheppu Appu Refill sachet,,, ₱40.00 ,, ₱-   ,5,,5,₱200.00
,Shoes Glue,,, ₱10.00 ,, ₱-   ,22,,22,₱220.00
,Shole BARBER CAPE,,, ₱185.00 ,, ₱-   ,0,,0,₱0.00
,Shower Cap,,, ₱45.00 ,, ₱-   ,2,,2,₱90.00
,Shower Cap A&W,,, ₱35.00 ,, ₱-   ,3,,3,₱105.00
,Silk Gum Element Glue,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Simcard Globe,,, ₱70.00 ,, ₱-   ,0,,0,₱0.00
,Simple Pretty Lipstick,,, ₱179.00 ,, ₱-   ,2,,2,₱358.00
,Skeen Care hydrating SPF 50 ,,, ₱150.00 ,, ₱-   ,3,,3,₱450.00
,Skeen Care Sunblock Cream 10g,,, ₱190.00 ,, ₱-   ,1,,1,₱190.00
,Skin Fantasy Rejuv Set,,, ₱220.00 ,, ₱-   ,2,,2,₱440.00
,Skin Fighter 8g,,, ₱25.00 ,, ₱-   ,3,,3,₱75.00
,skin fighter 15g,,, ₱40.00 ,, ₱-   ,1,,1,₱40.00
,skin fighter 35g,,, ₱60.00 ,, ₱-   ,0,,0,₱0.00
,Skin Perfection Kojic 500g,,, ₱300.00 ,, ₱-   ,3,,3,₱900.00
,Skin Perfection Kojic 100g,,, ₱60.00 ,, ₱-   ,1,,1,₱60.00
,SKIN PERFECTION REJUV SET,,, ₱180.00 ,, ₱-   ,4,,4,₱720.00
,Skin Reborn,,, ₱290.00 ,, ₱-   ,1,,1,₱290.00
,Skin Soft Sunscreen,,, ₱190.00 ,, ₱-   ,5,,5,₱950.00
,Skin Touch Set A,,₱230.00, ₱270.00 ,, ₱-   ,2,,2,₱540.00
,Skin Touch Set B,,₱270.00, ₱340.00 ,, ₱-   ,2,,2,₱680.00
,Socks Adult 3IN 1,,, ₱50.00 ,, ₱-   ,8,,8,₱400.00
,Socks Kids3N 1,,, ₱50.00 ,, ₱-   ,8,,8,₱400.00
,Soft Card Holder A4,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Soft Card Holder Small,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Sora (Color) 9/37,,, ₱-   ,, ₱-   ,0,,0,₱0.00
,SORIKO KOJIC LOTION,,₱225.00, ₱275.00 ,, ₱-   ,1,,1,₱275.00
,Soriko Glutathione,,, ₱275.00 ,, ₱-   ,1,,1,₱275.00
,Soriko Goat's Milk,,, ₱270.00 ,, ₱-   ,2,,2,₱540.00
,SP Glowing Set ,,, ₱270.00 ,, ₱-   ,0,,0,₱0.00
,Sp night cream 10g refill,,, ₱35.00 ,, ₱-   ,5,,5,₱175.00
,SPF 20 SY Glow 10x Whitening soap ,,, ₱100.00 ,, ₱-   ,3,,3,₱300.00
,Spider Man Tsinelas,,, ₱80.00 ,, ₱-   ,1,,1,₱80.00
,Staple Bala TAKIR 8MM BOX,,, ₱60.00 ,, ₱-   ,2,,2,₱120.00
,Staple Bala #10,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Stationary Set,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Sticker ,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,Sticker Cinderella,,, ₱20.00 ,, ₱-   ,3,,3,₱60.00
,PHOTOPAPER A4 JOY GLOSSSY ,,, ₱80.00 ,, ₱-   ,1,,1,₱80.00
, STICKY NOTE HEART,,, ₱15.00 ,, ₱-   ,7,,7,₱105.00
,Sticky Notes,,, ₱10.00 ,, ₱-   ,11,,11,₱110.00
,Strawberry Hair Straightening,,, ₱240.00 ,, ₱-   ,1,,1,₱240.00
,SUDLAY SPRING MAID,,, ₱25.00 ,, ₱-   ,1,,1,₱25.00
,Sudlay #008 aplicator,,, ₱50.00 ,, ₱-   ,0,,0,₱0.00
,Sunbright Hair Serum Pink,,, ₱90.00 ,, ₱-   ,0,,0,₱0.00
,Sunbright Series Bleaching Powder 30g,,, ₱30.00 ,, ₱-   ,0,,0,₱0.00
,Sunglasses Adult ,,, ₱100.00 ,, ₱-   ,27,,27,"₱2,700.00"
,Sunglasses Pambata ,,, ₱65.00 ,, ₱-   ,4,,4,₱260.00
,Sunwin Sandal (AssortedSize/Color),,, ₱235.00 ,, ₱-   ,0,,0,₱0.00
,Bremod Super Flex,,, ₱60.00 ,, ₱-   ,0,,0,₱0.00
,Swimming Goggles,,, ₱38.00 ,, ₱-   ,0,,0,₱0.00
,SY Glow 24k Rejuv,,, ₱260.00 ,, ₱-   ,4,,4,"₱1,040.00"
,SY Glow 24k Soap,,, ₱150.00 ,, ₱-   ,4,,4,₱600.00
,SY Glow Glass Skin Set,,, ₱198.00 ,, ₱-   ,5,,5,₱990.00
,SY GLOW 24K LTION,,, ₱330.00 ,, ₱-   ,5,,5,"₱1,650.00"
,SY Glow Ice Cream Lotion 250mL,,, ₱300.00 ,, ₱-   ,1,,1,₱300.00
,SY GLOW HYDRATING LOTION,,, ₱299.00 ,, ₱-   ,1,,1,₱299.00
,SY GLOW REJUV SET,,, ₱299.00 ,, ₱-   ,5,,5,"₱1,495.00"
,SY Glow Royal White Set,,, ₱285.00 ,, ₱-   ,3,,3,₱855.00
,SY Glow Sunscreen ,,, ₱200.00 ,, ₱-   ,9,,9,"₱1,800.00"
,SY Glow Triple Whitening 200mL,,, ₱330.00 ,, ₱-   ,5,,5,"₱1,650.00"
,Tape Dispenser,,, ₱110.00 ,, ₱-   ,0,,0,₱0.00
,Target Spray,,, ₱369.00 ,, ₱-   ,3,,3,"₱1,107.00"
,Terminator Hair Sulod,,, ₱15.00 ,, ₱-   ,36,,36,₱540.00
,Tissue neck,,,,, ₱-   ,0,,0,₱0.00
,Thumbtacks HEAVY DUTY ASST COLOR,,, ₱25.00 ,, ₱-   ,1,,1,₱25.00
,Tie Box,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Tokyo Vanilla Coffee,,, ₱370.00 ,, ₱-   ,3,,3,"₱1,110.00"
,Toothpick,,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,TRANSFORMED  TINTED SUN SCREEN 50 GMS,,, ₱190.00 ,, ₱-   ,1,,1,₱190.00
,Transformed  daily sunscreen 30 g,,, ₱135.00 ,, ₱-   ,1,,1,₱135.00
,TRANSFORMED TINTED SUNSCREEN 30 GMS,,, ₱145.00 ,, ₱-   ,1,,1,₱145.00
,Transformed glow 190 rejuv,,, ₱220.00 ,, ₱-   ,0,,0,₱0.00
,Trash Bag  MEDUIM,,, ₱50.00 ,, ₱-   ,1,,1,₱50.00
,Tuff 1000mL,,, ₱285.00 ,, ₱-   ,1,,1,₱285.00
,Two Hole Puncher,,, ₱45.00 ,, ₱-   ,1,,1,₱45.00
,Ultra ST Glue,,,,, ₱-   ,0,,0,₱0.00
,Valiant Columnar Notebook,,, ₱60.00 ,, ₱-   ,10,,10,₱600.00
,Valiant Record Book (300 pages),,, ₱75.00 ,, ₱-   ,0,,0,₱0.00
,Valiant Record Book (500 pages),,, ₱110.00 ,, ₱-   ,0,,0,₱0.00
,Vanda Elementary Themebook,,, ₱18.00 ,, ₱-   ,0,,0,₱0.00
,Vanda Graphing Notebook (Big),,, ₱75.00 ,, ₱-   ,3,,3,₱225.00
,Vanda Graphing Notebook (Small) ,,, ₱30.00 ,, ₱-   ,4,,4,₱120.00
,Vaseline Gluta-Hya 290mL,,, ₱375.00 ,, ₱-   ,3,,3,"₱1,125.00"
,VC Toner 500mL,,, ₱140.00 ,, ₱-   ,3,,3,₱420.00
,Vibrant (Color) 5/3,,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Vibrant (Color) 8/33,,, ₱40.00 ,, ₱-   ,0,,0,₱0.00
,Vinyl Paper Clip,,, ₱40.00 ,, ₱-   ,3,,3,₱120.00
,Vista Praia Sandal,,, ₱150.00 ,, ₱-   ,1,,1,₱150.00
,Waffle TShirt,,,,, ₱-   ,0,,0,₱0.00
,Water Color,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Water Color ,,, ₱25.00 ,, ₱-   ,0,,0,₱0.00
,Water Color 12 colors,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Well Hair Repair & Maintenance 500g,,, ₱100.00 ,, ₱-   ,0,,0,₱0.00
,White Blast soap,,, ₱50.00 ,, ₱-   ,11,,11,₱550.00
,White Board,,, ₱140.00 ,, ₱-   ,0,,0,₱0.00
,White Board,,, ₱150.00 ,, ₱-   ,0,,0,₱0.00
,White Board,,, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Wrapper (Birthday),,, ₱10.00 ,, ₱-   ,6,,6,₱60.00
,Wrapper (Wedding),,, ₱10.00 ,, ₱-   ,6,,6,₱60.00
,Yarn,,, ₱10.00 ,, ₱-   ,15,,15,₱150.00
,Yasuy Beauty Day Cream,,, ₱185.00 ,, ₱-   ,2,,2,₱370.00
,Yasuy Beauty Set ,,, ₱290.00 ,, ₱-   ,4,,4,"₱1,160.00"
,YASUY BEAUTY SOAP,,, ₱100.00 ,, ₱-   ,4,,4,₱400.00
, YASUY GLASS SKIN SOAP,,, ₱55.00 ,, ₱-   ,0,,0,₱0.00
,Yasuy Tinted Sunscreen ,,, ₱199.00 ,, ₱-   ,1,,1,₱199.00
,Yatai Eraser,,, ₱8.00 ,, ₱-   ,0,,0,₱0.00
,Yellow Pad,,, ₱55.00 ,, ₱-   ,5,,5,₱275.00
,YLK Chocolate Milk Candy,,, ₱5.00 ,, ₱-   ,0,,0,₱0.00
,You Glow 70g Soap Beauty white,,₱140.00, ₱180.00 ,, ₱-   ,2,,2,₱360.00
,You Glow Beauty White Rejuv,,₱258.00, ₱299.00 ,, ₱-   ,4,,4,"₱1,196.00"
,You Glow Beauty White Sun Screen Bright Glow ,,, ₱250.00 ,, ₱-   ,1,,1,₱250.00
,You Glow Beauty White Sun Screen 1/2 ,,, ₱130.00 ,, ₱-   ,1,,1,₱130.00
,Ziplock White Cellophane,,, ₱55.00 ,, ₱-   ,0,,0,₱0.00
,Zipped Bag (small),,, ₱15.00 ,, ₱-   ,0,,0,₱0.00
,Glowyn Skin (Porcelain Whitening Lotion) 250ml,1/9/26,₱400.00, ₱480.00 ,,,1,,1,₱480.00
,Glowyn Premium Maintenance Set,1/9/27,₱215.00, ₱295.00 ,,,1,,,₱295.00
,Hikari Skin Essential Ultra Fresh Sunscreen,1/9/28,₱140.00, ₱180.00 ,,,10,,,"₱1,800.00"
,Glowyn Porcelain Milksoap,1/9/29,₱208.00, ₱249.00 ,,,1,,,₱249.00
,Bella Miss Baby Wipes,1/9/33,, ₱35.00 ,,,3,,,₱105.00
,Bella Miss Tissue,1/9/34,, ₱35.00 ,,,0,,,₱0.00
,Leidi Set Hair Rebonding ,1/9/35,₱350.00, ₱440.00 ,,,2,,,₱880.00
,,,,,,,,,,
,Organic Developer Cream,,, ₱380.00 ,, ₱-   ,0,,0,₱0.00
,Monaliza Hairwax,,, ₱60.00 ,,,4,,4,₱240.00
,Lightness Hairwax ,,, ₱60.00 ,,,0,,0,₱0.00
,Tiny Cellophane Small,,,,,,0,,0,₱0.00
,Tiny Cellophane Medium,,,,,,0,,0,₱0.00
,Spoon,,,,,,0,,0,₱0.00
,Fork,,, ₱25.00 ,,,0,,0,₱0.00
,Small Sudlanan Siomai,,,,,,0,,0,₱0.00
,Havaianass sandal BJ,,, ₱150.00 ,,,1,,1,₱150.00
,Jordan AJ,,, ₱175.00 ,,,0,,0,₱0.00
,Kids Sansal IJJ,,, ₱160.00 ,,,1,,1,₱160.00
,Havianas women EH,,, ₱95.00 ,,,1,,1,₱95.00
,Adidas men AB,,, ₱175.00 ,,,2,,2,₱350.00
,GTX Berken style IHE,,, ₱185.00 ,,,1,,1,₱185.00
,Adidas AJ,,, ₱175.00 ,,,0,,0,₱0.00
,GTX  Women,,, ₱180.00 ,,,2,,2,₱360.00
,FIKU adult,,, ₱140.00 ,,,0,,0,₱0.00
,Vista Praia Sandal IFE,,, ₱195.00 ,,,1,,1,₱195.00
,Nike girls,,, ₱260.00 ,,,0,,0,₱0.00
,GTX WOMEN NICELY,,, ₱180.00 ,,,1,,1,₱180.00
,Crocs Kids Sandal,,, ₱200.00 ,,,1,,1,₱200.00
,Havianas men BJ,,, ₱140.00 ,,,0,,0,₱0.00
,Vista Praia Sandal BJ,,, ₱160.00 ,,,0,,0,₱0.00
,Tsinelas Adult EJ,,, ₱110.00 ,,,2,,2,₱220.00
,Tsinelas  KIDS GA,,, ₱90.00 ,,,0,,0,₱0.00
,Butterfly clipp,,, ₱20.00 ,,,0,,0,₱0.00
,Flower clip,,, ₱15.00 ,,,0,,0,₱0.00
,Earings- KIB,,, ₱30.00 ,,,0,,0,₱0.00
,Earings- 52B,,, ₱30.00 ,,,0,,0,₱0.00
,Hair clam HC-882,,, ₱30.00 ,,,0,,0,₱0.00
,Hair clam HC-945,,, ₱35.00 ,,,0,,0,₱0.00
,Hair clam Mc- 572 ,,, ₱25.00 ,,,0,,0,₱0.00
,Hair clam Mc-717,,, ₱30.00 ,,,0,,0,₱0.00
,Sanrio Mc- 634,,, ₱40.00 ,,,0,,0,₱0.00
,Hair clam sunflower,,, ₱35.00 ,,,0,,0,₱0.00
